MS,SMS,RMS,CMS,COS,SC
jsoup_21_fixed,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
jsoup_52_fixed,1,1,1,0.3333333333333333,1,1
jsoup_2_fixed,1,1,0.125,0.2,0.125,0.1111111111111111
compress_37_fixed,1,1,1,0.14285714285714285,1,1
compress_17_fixed,1,1,1,1,1,0.25
compress_8_fixed,1,1,1,1,1,1
compress_13_fixed,1,1,1,1,1,0.0625
compress_30_fixed,0,0,0,0,0,1
compress_40_fixed,1,1,1,1,1,1
compress_15_fixed,1,1,1,1,0.3333333333333333,0.3333333333333333
compress_22_fixed,1,1,0.5,0.5,1,0.5
compress_21_fixed,1,1,1,1,1,1
compress_34_fixed,1,1,1,0.5,1,1
compress_6_fixed,1,1,0,1,1,1
compress_10_fixed,0.5,0.5,0.5,0.5,0.5,1
compress_14_fixed,0.5,0,0.1111111111111111,0.047619047619047616,0.5,0.1
compress_2_fixed,1,1,1,1,1,1
compress_24_fixed,1,1,0.125,0.0625,1,0.058823529411764705
compress_38_fixed,1,1,1,1,0.06666666666666667,0.2
compress_7_fixed,1,1,0.5,0.5,1,0.09090909090909091
compress_4_fixed,1,1,1,1,1,1
compress_33_fixed,1,1,1,1,1,1
compress_19_fixed,1,1,1,0.08333333333333333,1,0.5
compress_35_fixed,0.16666666666666666,0,0.14285714285714285,0.14285714285714285,0.16666666666666666,0.045454545454545456
compress_36_fixed,1,1,1,0.1111111111111111,1,1
compress_27_fixed,1,1,0.5,1,1,0.3333333333333333
compress_31_fixed,1,1,1,1,1,1
compress_26_fixed,1,1,1,0.06896551724137931,1,1
compress_45_fixed,1,1,1,1,1,1
compress_3_fixed,1,1,1,1,1,1
compress_32_fixed,1,1,1,1,0.1111111111111111,1
compress_39_fixed,1,1,1,0.5,1,0.5
compress_5_fixed,1,1,1,0.5,1,1
compress_1_fixed,1,1,1,0,1,0.5
lang_30_fixed,1,1,1,1,1,1
lang_57_fixed,1,1,1,1,1,1
lang_15_fixed,1,1,1,1,1,1
lang_3_fixed,1,1,1,1,1,0.5
lang_41_fixed,1,1,1,1,1,1
lang_39_fixed,1,1,1,1,1,1
lang_37_fixed,1,1,1,1,0.25,1
lang_60_fixed,1,1,1,1,1,0.5
lang_51_fixed,1,1,1,1,1,1
lang_33_fixed,1,1,1,1,1,1
lang_34_fixed,1,1,1,1,1,1
lang_24_fixed,1,1,1,1,1,1
lang_22_fixed,1,1,1,1,1,1
lang_1_fixed,1,1,1,1,1,0.5
lang_64_fixed,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0.3333333333333333
lang_16_fixed,1,1,1,0.3333333333333333,1,1
lang_28_fixed,1,1,1,0.5,1,1
lang_11_fixed,1,1,0.25,0.25,1,1
lang_19_fixed,1,1,1,1,1,1
lang_53_fixed,0.5,0,0.5,0.5,0.5,0.5
lang_61_fixed,1,1,0.6666666666666666,0.5,1,0.5
lang_48_fixed,1,1,1,1,1,1
lang_43_fixed,1,1,1,0.25,1,1
lang_6_fixed,1,1,0.04,1,1,0.04
lang_45_fixed,1,1,1,1,1,1
lang_49_fixed,1,1,1,1,1,1
lang_58_fixed,1,1,1,0.3333333333333333,1,0.3333333333333333
lang_65_fixed,1,1,1,1,1,1
lang_46_fixed,1,1,1,1,1,0.5
lang_36_fixed,1,1,1,1,1,1
lang_25_fixed,0.043478260869565216,0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.047619047619047616
lang_32_fixed,1,1,1,0.125,0.25,1
lang_59_fixed,1,1,0.3333333333333333,1,1,0.3333333333333333
lang_21_fixed,1,1,1,1,1,1
lang_63_fixed,1,1,1,0.5,1,1
lang_27_fixed,1,1,1,1,1,1
lang_44_fixed,1,1,0.5,1,1,0.5
